Change No.,Assign Dept,Category,Chs Change Level,Current Phase,Orig Date Entered,Requested Date,Close Time,Change Status,Title,Description,Requested by,Estimated LOE,Chs 2020 Focus,Chs Project,Owner,Chs Est Hours over 100,Priority Code,Logical Name,Affected Item,Actual Outage End
"C1166364","SOLUTIONS_DELIVERY_CLINICAL","SOFTWARE REQUEST","2","ESS - RESEARCH","12/23/16 09:43:53","","","PENDING VENDOR","EMS report collection","EMS report collection
Requested By Date: 12/24/16 00:00:00
Provide a short description of the business issue or need you are trying to address:
EMS report collection
Provide clinical and/or financial background information pertinent to the business need:
Current process takes mult FTEs, proposed fix is electronic
What are you attempting to achieve and what benefits are you attempting to attain? Regulatory requirement
Has a product or vendor already been reviewed or selected? Yes
  Would there be an ongoing contract associated with this proposed solution? Yes
  Would this solution be purchased or leased? Purchased
  Would the solution be hosted offsite in the ""cloud""? Yes
  From what devices would the solution be accessed? EMS laptops
  What other vendors were researched and considered for this solution? Nemesis-EMS product
  Please list at least 2 reference locations (non-Carilion) that are using this product: Sentara VA beach
  Please provide the name of the selected vendor: Imagetrend
  Please provide the URL of the selected vendor's web site: http://www.imagetrend.com/
Would this initiative replace an existing solution? Yes
  What is the solution being replaced? HIM sorting by hand and copying to chart
If this request is denied or delayed, what may happen as a result? Loss of EMS reports
Who is your financial advisor? Emily Brown
Have you discussed this solution with your financial advisor? No
  What dollar amount are you requesting? null
  What would the annual operating cost be? null
  How many net new FTEs would be required for this solution? null
Would there be any cost savings associated with this request? Yes
  Provide a descritpion of the cost savings:
electronic process
Will confidential Carilion Clinic information be stored or transmitted by this system? No
  Please check information types that apply: null
Is this a clinical or non-clinical based system? Clinical","PMMCKENNA","20","","NO","JWBOOKER","0","","UNDETERMINED","UNDETERMINED SERVICES",""
"C1166369","SOLUTIONS_DELIVERY_NONCLINICAL","SOFTWARE REQUEST","4","ESS - RESEARCH","12/23/16 09:55:22","","","PENDING CUSTOMER","LXR Scanner software replacement with Remark Classic OMR","LXR Scanner software replacement with Remark Classic OMR
To upgrade the scanner process/ able read reports more quickly and accurately
Requested By Date: 12/24/16 00:00:00
Date change: Need by March 31, 2017
Provide a short description of the business issue or need you are trying to address:
To upgrade the scanner process/ able read reports more quickly and accurately
Provide clinical and/or financial background information pertinent to the business need:
Current contract is expiring in March want to compare cost to the new software
What are you attempting to achieve and what benefits are you attempting to attain? Necessary to maintain existing revenue or service (break-fix)
Has a product or vendor already been reviewed or selected? Yes
  Would there be an ongoing contract associated with this proposed solution? Yes
  Would this solution be purchased or leased? Purchased
  Would the solution be hosted offsite in the ""cloud""? Yes
  From what devices would the solution be accessed? The scantron computer located to the Old Nursed station on the 10th floor.
  What other vendors were researched and considered for this solution? LXR, Remark
  Please list at least 2 reference locations (non-Carilion) that are using this product: Virginia Western Community College
  Please provide the name of the selected vendor: Remark classic OMR
  Please provide the URL of the selected vendor's web site: scantron.com
Would this initiative replace an existing solution? Yes
  What is the solution being replaced? Old Version LXR to the new software
If this request is denied or delayed, what may happen as a result? Stay with Current vendor
Who is your financial advisor? Anna Millirons
Have you discussed this solution with your financial advisor? No
  What dollar amount are you requesting? null
  What would the annual operating cost be? null
  How many net new FTEs would be required for this solution? null
Would there be any cost savings associated with this request? Yes
  Provide a descritpion of the cost savings:
Work Flow Improvement process
Will confidential Carilion Clinic information be stored or transmitted by this system? Yes
  Please check information types that apply: Other
Is this a clinical or non-clinical based system? Non-Clinical","MRCLEMONT","30","","NO","JGHODGE","0","","UNDETERMINED","UNDETERMINED SERVICES",""
"C1166371","SOLUTIONS_DELIVERY_CLINICAL","SOFTWARE REQUEST","2","ESS - IMPLEMENTATION","12/23/16 10:01:33","12/22/17 00:00:00","","IN PROGRESS","Upgrade of 7 FCM sites to digital Radiography- Floyd,Fort Defiance, Blue Ridge, Galax, Staunton, Blacksburg, Colonial","Upgrade of 7 FCM sites to digital Radiography
Requested By Date: 12/24/16 00:00:00
Provide a short description of the business issue or need you are trying to address:
Upgrade of 7 FCM sites to digital Radiography- Floyd,Fort Defiance, Blue Ridge, Galax, Staunton, Blacksburg, Colonial
Provide clinical and/or financial background information pertinent to the business need:
Obsolete analog equipment replacement
What are you attempting to achieve and what benefits are you attempting to attain? Must do to prevent patient harm
Has a product or vendor already been reviewed or selected? Yes
  Would there be an ongoing contract associated with this proposed solution? Yes
  Would this solution be purchased or leased? Purchased
  Would the solution be hosted offsite in the ""cloud""? No
  From what devices would the solution be accessed? Local Radiology and PACS
  What other vendors were researched and considered for this solution? Several
  Please list at least 2 reference locations (non-Carilion) that are using this product: N/A
  Please provide the name of the selected vendor: Samsung
  Please provide the URL of the selected vendor's web site: N/A
Would this initiative replace an existing solution? Yes
  What is the solution being replaced? analog equipment
If this request is denied or delayed, what may happen as a result? Patient harm/lack of services
Who is your financial advisor? Sowers
Have you discussed this solution with your financial advisor? Yes
  What dollar amount are you requesting? Already approved $575K
  What would the annual operating cost be? 2-3K service contract
  How many net new FTEs would be required for this solution? 0
Would there be any cost savings associated with this request? Yes
  Provide a descritpion of the cost savings:
chemicals film mileage
Will confidential Carilion Clinic information be stored or transmitted by this system? Yes
  Please check information types that apply: Patient
Is this a clinical or non-clinical based system? Clinical","MBLOWERY","137","","NO","RLHAYNES","0","","EPIC RADIANT","APPLICATION SERVICES",""
"C1167118","SOLUTIONS_DELIVERY_NONCLINICAL","RFC - MAINTENANCE","2","RFC - REQUEST FOR CHANGE","12/30/16 11:38:52","","","NOT STARTED","SER Application - enhancement request (Smart # edit)","SER Application - enhancement request (Smart # edit)

Please incorporate an edit to validate the Smart number against existing records.  This should be the same type of edit that currently exists for the NPI, Badge Id, and Unique id.

Currently, a Smart number that has been used can be added in a new SER App record, which will cause the import to fail.","KLROBERTS","","","NO","KLROBERTS","0","2 - HIGH","EPIC SER","APPLICATION SERVICES",""
"C1167856","SOLUTIONS_DELIVERY_NONCLINICAL","SOFTWARE REQUEST","4","ESS - RESEARCH","01/05/17 10:22:43","11/15/17 00:00:00","","PENDING CUSTOMER","Research Degree Audit software solutions...","Research Degree Audit software solutions...
Requested By Date: 01/01/18 00:00:00
Provide a short description of the business issue or need you are trying to address:
Jefferson would like to partner with TSG to research Degree Audit software solutions. Current we do not have a working solution so the Registrar is forced to complete each student's audit manually.
Provide clinical and/or financial background information pertinent to the business need:
All student degree audits are completed manually which is extremely time consuming.
What are you attempting to achieve and what benefits are you attempting to attain? Net new item
Has a product or vendor already been reviewed or selected? No
  Would there be an ongoing contract associated with this proposed solution? null
  Would this solution be purchased or leased? null
  Would the solution be hosted offsite in the ""cloud""? null
  From what devices would the solution be accessed? null
  What other vendors were researched and considered for this solution? null
  Please list at least 2 reference locations (non-Carilion) that are using this product: null
  Please provide the name of the selected vendor: null
  Please provide the URL of the selected vendor's web site: null
Would this initiative replace an existing solution? No
  What is the solution being replaced? null
If this request is denied or delayed, what may happen as a result? Process will continue to be completed manually
Who is your financial advisor? Elaine Sullivan
Have you discussed this solution with your financial advisor? No
  What dollar amount are you requesting? null
  What would the annual operating cost be? null
  How many net new FTEs would be required for this solution? null
Would there be any cost savings associated with this request? Yes
  Provide a descritpion of the cost savings:
Savings in labor costs.
Will confidential Carilion Clinic information be stored or transmitted by this system? Yes
  Please check information types that apply: Other
Is this a clinical or non-clinical based system? Non-Clinical","MBVEST","100","","NO","MAWOMACK","0","","UNDETERMINED","UNDETERMINED SERVICES",""
"C1167997","SOLUTIONS_DELIVERY_NONCLINICAL","SOFTWARE REQUEST","2","ESS - REQUEST FOR CHANGE","01/05/17 16:27:16","","","NOT STARTED","Increased integration of ambulance AVL system with CCPT dispatching software.","[INTAKE] Increased integration of ambulance AVL system with CCPT dispatching software.
Provide clinical and/or financial background information pertinent to the business need:
CCPT is currently contracting with a standalone service for this function.  The proposed project would provide greater integration, increased functionality, and long-term costs savings.
What are you attempting to achieve and what benefits are you attempting to attain? Net new item
Has a product or vendor already been reviewed or selected? Yes
  Would there be an ongoing contract associated with this proposed solution? Yes
  Would this solution be purchased or leased? Leased
  Would the solution be hosted offsite in the ""cloud""? Yes
  From what devices would the solution be accessed? In-vehicle modems, CCPT computers and mobile devices, and an existing CCPT server.
  What other vendors were researched and considered for this solution? Intermedix Fleeteyes
  Please list at least 2 reference locations (non-Carilion) that are using this product: N/A
  Please provide the name of the selected vendor: Zoll Data
  Please provide the URL of the selected vendor's web site: https://www.zolldata.com/rescuenet-@work/
Would this initiative replace an existing solution? Yes
  What is the solution being replaced? Intermedix Fleeteyes
If this request is denied or delayed, what may happen as a result? CCPT would remain with the existing product
Who is your financial advisor? Unknown
Have you discussed this solution with your financial advisor? No
  What dollar amount are you requesting? null
  What would the annual operating cost be? null
  How many net new FTEs would be required for this solution? null
Would there be any cost savings associated with this request? Yes
  Provide a descritpion of the cost savings:
Monthly fees will be slightly lower than existing costs.
Will confidential Carilion Clinic information be stored or transmitted by this system? Yes
  Please check information types that apply: Patient, Employee, Other
Is this a clinical or non-clinical based system? Non-Clinical","SDPRITCHARD","","","NO","","0","","UNDETERMINED","UNDETERMINED SERVICES",""
"C1168551","SOLUTIONS_DELIVERY_CLINICAL","EPIC SERVICES REQUEST","2","ESS - REQUEST FOR CHANGE","01/10/17 14:09:54","","","NOT STARTED","To flag patients with greater than 2 visits in a six month period. This would draw the attention of financial counsellor and help to identify the patients possible need for help obtaining insurance","To flag patients with greater than 2 visits in a six month period. This would draw the attention of financial counsellor and help to recognize the patients possible need for help obtaining insurance

Epic application module to be optimized: ED (ASAP)

Improvement Initiative this Optimization will effect: Population Health

Who will be impacted by this Optimization: 1-ENTERPRISE / HOSPITAL

Benefit / Value: 
Pt may be assisted in obtaining Insurance","GGDARBY","","","NO","","0","","EPIC ASAP ","APPLICATION SERVICES",""
"C1168916","SOLUTIONS_DELIVERY_NONCLINICAL","RFC - MAINTENANCE","2","RFC - REQUEST FOR CHANGE","01/12/17 13:42:36","10/31/17 00:00:00","","NOT STARTED","Create Everbridge API reports for Code Yellow","Create Everbridge API reports for Code Yellow

Update:  2017/05/25
Need to research to see if this is even possible.  The front end GUI doesn't allow you to schedule and send reports.  Rich will work on.","RRFISHER","12","","NO","RRFISHER","0","4 - LOW","EVERBRIDGE","MESSAGING SERVICES",""
"C1169498","SOLUTIONS_DELIVERY_NONCLINICAL","SERVICE CATALOG REQUEST","3","ESS - REQUEST FOR CHANGE","01/17/17 10:07:13","","","NOT STARTED","Create a data warehouse extracting data from Power Campus","Triage:  3/1/17,  Steven Nape, Create a data warehouse extracting data from Power Campus
Per Steven Nape on 2/2/2017:
Please update my original request with the following information discussed on 1/18/2017 between Steven Nape and Jason Wright:
Description:
-	Write a new sql table and use appropriate queries to generate desired reports.  For now, the table will likely just capture data for use next year in 2018, but the sooner we can start collecting the relevant data, the sooner we can start to automate the year-to-date comparison reports that we are presently using a manual process to produce. In addition, once the table exists, we can also write queries to do some internal validation of our database which is in need of some clean-up.  Define what data need to go in to the table and will need a resource with writing the necessary queries.  Objective is to replace all existing databases formerly created by Howard Ballintine (former JCHS employee).  -	Added to RFC C1169498 2/2/2017

Affiliated With: JCHS
Details:
I am requesting to create a data warehouse extracting data from Power Campus.  The data will primarily be student data and will be used to create date-to-date comparisons of the various data points in the warehouse. I have worked on creating data warehouses personally and can help map out exactly how the data warehouse would be most useful.

Requested By Date: 03/01/17 00:00:00

Deadline Driver:
Presently, JCHS is producing reports for enrollment KPIs manually, and there are a number of data points that are not captured. The primary purpose of creating the data store is to allow for automated comparisons, report and error checking, among other uses.","SWNAPE","","","NO","","0","","NEW REPORT REQUESTED","REPORTING SERVICES",""
"C1169592","SOLUTIONS_DELIVERY_NONCLINICAL","EPIC SERVICES REQUEST","3","ESS - REQUEST FOR CHANGE","01/17/17 13:20:35","","","NOT STARTED","Confirmation Record alignment between ambulatory and hospital registration workflows.  For both ambulatory and PAS. These are confirmation warnings--not hard stops. This will allow registration workflows to be monitored, but not stopped.","Confirmation Record alignment between ambulatory and hospital registration workflows.  For both ambulatory and PAS. These are confirmation warnings--not hard stops. This will allow registration workflows to be monitored, but not stopped.

Epic application module to be optimized: ADT / Registration (Prelude)

Improvement Initiative this Optimization will effect: null

Who will be impacted by this Optimization: 1-ENTERPRISE / HOSPITAL

Benefit / Value: 
To reduce the amount of missing items that fall to a pre-registration work queues, it is ideal to have confirmation records fire warnings while the users are still working within the registration workflow.  Please see attached build sheet.","PHSUTPHIN","","","NO","","0","","EPIC IDENTITY (EMPI) ","APPLICATION SERVICES",""
"C1170280","SOLUTIONS_DELIVERY_CLINICAL","RFC - MAINTENANCE","4","RFC - RESEARCH","01/20/17 18:03:37","","","IN PROGRESS","Upgrade ClinTrac to Platform 7.5 aka eHDS platform.","Upgrade ClinTrac to Platform 7.5 aka eHDS platform.

3M Vendor requirement for compliance with Microsoft OS and IE version.


3M issued the statement below regarding IEs in their January SP1 Release. Our ClinTrac app servers are Windows 2008 R2 SP1 with IE9. Instead of saying they no longer support IE9, now 3M says we can't use CRS with IE9. Page 27 of the attached What's New PDF reads as follows:

Clarification regarding Internet Explorer 9 support

Support for Internet Explorer 9 with CRS ended in January 2016. An extended grace period has allowed you to work in CRS on Internet Exporter 9 when using Windows Server 2008 (R2). That grace period will end in April 2017, and you no longer can use CRS with Internet Explorer 9.
Please upgrade your browser to Internet Explorer 11 to be in compliance with the CRS Hardware and Software Specifications.
Supported browsers
The most recent version of Internet Explorer available for each 3M-supported operating system is recommended for best performance and longest support:
• Windows 10: Internet Explorer 11 (HDM v5.0.2 and previous are not compatible with Windows 10)
• Windows 8: Internet Explorer 10 (support ended October 1, 2016)
• Windows 8.1: Internet Explorer 11","RMDURHAM","","","NO","","0","3 - MEDIUM","CLINTRAC","APPLICATION SERVICES",""
"C1170349","SOLUTIONS_DELIVERY_CLINICAL","EPIC SERVICES REQUEST","3","ESS - REQUEST FOR CHANGE","01/23/17 10:58:25","","","NOT STARTED","Nursing Informatics: Is there any way that we can avoid manual charge entry for IP dialysis and have the charge automated from data (like start and stop times, etc) from the nursing documentation for this patient population.  Currently our CA's are enteri","Nursing Informatics:  [USL] Is there any way that we can avoid manual charge entry for IP dialysis and have the charge automated from data (like start and stop times, etc) from the nursing documentation for this patient population.  Currently our CA's are entering these charges manually each day.

Epic application module to be optimized: Billing (Hospital)

Improvement Initiative this Optimization will effect: null

Who will be impacted by this Optimization: 1-ENTERPRISE / HOSPITAL

Benefit / Value:
This could improve the ""human error"" effect of entering these charges manually.  It can also help with ensuring that these are entered if a CA is not here (vacation, etc) and avoid missing any of these charges.","KABOLLING","","","NO","","0","","EPIC HOSPITAL BILLING","APPLICATION SERVICES",""
"C1170960","SOLUTIONS_DELIVERY_CLINICAL","RFC - IMPLEMENTATION","2","RFC - IMPLEMENTATION","01/25/17 18:20:55","07/10/17 00:00:00","","IN PROGRESS","Most Wired 2017 Survey","Most Wired 2017","RKPERRY","80","","NO","DPMARTIN","0","3 - MEDIUM","UNDETERMINED","UNDETERMINED SERVICES",""
"C1171525","SOLUTIONS_DELIVERY_CLINICAL","RFC - OPTIMIZATION","3","RFC - REQUEST FOR CHANGE","01/30/17 13:06:42","","","NOT STARTED","When shadowing the Advice Line nurses at IM CCR3 I noticed they are always in Telephone Encounters,","When shadowing the Advice Line nurses at IM CCR3 I noticed they are always in Telephone Encounters, which seems to have its own sidebar report named ""This Call"" and I was wondering if that could be updated to include information that is more pertinent to a telephone encounter versus an Office Visit?","EHDEACON","","","NO","","0","1 - CRITICAL","EPIC CARE AMBULATORY","APPLICATION SERVICES",""
"C1171591","SOLUTIONS_DELIVERY_CLINICAL","RFC - OPTIMIZATION","3","RFC - REQUEST FOR CHANGE","01/30/17 16:18:47","","","NOT STARTED","While rounding at IM CCR3 the nurses asked if there could be an option in Med Documentation for ""As","OPS& SUPPORT AFTER RESEARCH: While rounding at IM CCR3 the nurses asked if there could be an option in Med Documentation for ""As Needed"" or ""PRN"" since they don't want to choose Today, Yesterday, Taking Differently, or maybe not even in the Past Month, when the patient is only taking the med as needed and doesn't have a great idea of when the last time they took it was.
They are currently documenting this in the Med Note each time they are reviewing the Med List with the patient.","EHDEACON","","","NO","","0","1 - CRITICAL","EPIC CARE AMBULATORY","APPLICATION SERVICES",""
"C1171634","SOLUTIONS_DELIVERY_NONCLINICAL","RFC - OPTIMIZATION","4","RFC - RESEARCH","01/31/17 08:13:38","05/08/17 00:00:00","","PENDING VENDOR","Change Starfish integration ID to be the student PowerCampus ID","Change Starfish integration ID to be the student PowerCampus ID
Service Recipient: Al Overstreet
Timeline: by March 1, 2017

Description:
Process Improvement to change the Starfish integration ID to be the student PowerCampus ID rather than a user","JGHODGE","60","","NO","JGHODGE","0","3 - MEDIUM","STARFISH","APPLICATION SERVICES",""
"C1171663","SOLUTIONS_DELIVERY_CLINICAL","RFC - MAINTENANCE","4","RFC - REQUEST FOR CHANGE","01/31/17 09:24:50","","","NOT STARTED","Eaglesoft Upgrade V18 - Hardware Requirements","Eaglesoft Upgrade V18 - Hardware Requirements

Eaglesoft dental software requires an upgrade to V18 to be compatible with the upcoming switch to Windows 10.

Please review the attached Eaglesoft hardware requirements document and compare to our current hardware setup to identify any new equipment that will be needed for this upgrade.  This is fact finding only at this point, and NOT a request to purchase hardware.","JVSTROUTH","","","NO","","0","4 - LOW","EAGLESOFT ","APPLICATION SERVICES",""
"C1171878","SOLUTIONS_DELIVERY_NONCLINICAL","EPIC SERVICES REQUEST","2","ESS - RESEARCH","02/01/17 10:41:54","","","IN PROGRESS","NUrsing Informatics:i am requesting IF it can be done, to interface Cupid and Radiant with EPIC","Nursing Informatics:[INTAKE] Currently, there is no way to put Cath procedure log documentation into a Hybrid log. Cath uses Cupid and bills based on CPT not based on time. CV Informatics has reviewed this extensively and until we have the capability for a merged log we will continue to have these issues when a Cath procedure is done in the Hybrid. I'm not sure if you are able to see the Cupid documentation, but the Cath Log does reflect the location as Hybrid. Based on previous Finance instructions, when the cath lab staff are the only ones on the procedure, the documentation will be by Cath Lab staff in Cupid w/billing being under Cath Lab and Finance will route revenue back to Hybrid for the use of the room as needed. I don't believe this has been established as a final policy due to the fact that we are still working on refining a process for these types of cases, but that was the most recent instruction I have.
i am requesting IF it can be done, to interface Cupid and Radiant with EPIC

Epic application module to be optimized: Cupid (Cardiant)

Improvement Initiative this Optimization will effect: Documentation Improvement

Who will be impacted by this Optimization: 1-ENTERPRISE / HOSPITAL

Benefit / Value:
Billing and revenue charges are impacted due to different areas not all talking to one host location.","JMSALZBERG","","","NO","","0","","EPIC CUPID (CARDIANT)","APPLICATION SERVICES",""
"C1171929","SOLUTIONS_DELIVERY_CLINICAL","RFC - OPTIMIZATION","3","RFC - REQUEST FOR CHANGE","02/01/17 12:03:35","","","NOT STARTED","AEAC:  16.1 Pediatric offices are currently inputting the Newborn Screening results via multiple methods.  Some","AEAC: Pediatric offices are currently inputting the Newborn Screening results via multiple methods.  Some Pediatric offices are only scanning the results in when they receive them, while others are having their nurses enter them discreetly as an External Result.  The nurses are having a difficult time keeping up with which newborns they have received the results for and which they have not.
I have added a post to the Userweb: https://userweb.epic.com/Thread/58578 to ask how others keep up with these results.  The one reply has stated they have their NICU secretary receive ALL of these results and send to scanning.
We are wondering if a new Document Type for ""Newborn Screening"" could be created along with a print group to pull in that document type into the Pediatric Navigator for newborns of a certain age.  This will ensure the nurses and physicians have followed up to make sure they get the results on the 2-4 week newborn follow ups.","EHDEACON","","","NO","","0","1 - CRITICAL","EPIC CARE AMBULATORY","APPLICATION SERVICES",""
"C1172380","SOLUTIONS_DELIVERY_CLINICAL","EPIC SERVICES REQUEST","3","ESS - REQUEST FOR CHANGE","02/03/17 15:14:21","","","NOT STARTED","Changes have been made to our patient Sleep History Questionnaire and these updates need to incorporated into the Epic version to send patients through My Chart.  We would also like to have the sleep study instruction sheets available to send through My C","Changes have been made to our patient Sleep History Questionnaire and these updates need to incorporated into the Epic version to send patients through My Chart.  We would also like to have the sleep study instruction sheets available to send through My Chart as well.

Epic application module to be optimized: Ambulatory

Improvement Initiative this Optimization will effect: Documentation Improvement

Who will be impacted by this Optimization: 2-CLINIC / NON-HOSPITAL

Benefit / Value:
Currently, sleep history questionnaires are mailed to the patients.  and mailed back. This has been found to delay scheduling the patients' sleep studies.  The sleep study instruction sheets are included in this mailed packet as well. We would like to start sending the questionnaires and sleep study instructions through My Chart to those patients who use My Chart.  This will expedite sleep study, shorten the diagnostic process for the patients and reduce the amount of paper/associated resources used by printing and mailing them.","KEPELLANT","6","","NO","CSHODGES","0","","EPIC CARE AMBULATORY ","APPLICATION SERVICES",""
"C1172442","SOLUTIONS_DELIVERY_CLINICAL","RFC - OPTIMIZATION","3","RFC - REQUEST FOR CHANGE","02/04/17 21:55:39","","","NOT STARTED","IEAC: 27.0 - Caller has a patient chart that a provider is requesting to have rerouted to her inbasket."," IEAC: Caller has a patient chart that a provider is requesting to have rerouted to her inbasket.

IEAC: What she was requesting is that the Transfer Center have the ability to route a chart to the physician that they have just called rgarding a patient.  She stated was called by the transfer center to review the child's chart.  She is driving down the road and does not have the ability to document who the patient is.  This makes is very difficult for the physician to f/u.

Therefore this request is to have the Transfer Center have the ability to IB message and attach the patient's charts when notifying the physician.  She stated it would be even better to have them document a note and attached.

I checked the IP Resource Template and they do not currently have IB capabilities.


Login ID: GRWILLIAMS
Login Dept: TRANSFER CENTER RMH [1000096]
Template: IP RESOURCE TC [304048]
Patient Name: Thompson, Autumn
MRN: 987095
DOB: 12/3/2016
Provider Name: Miller, Joelle - Cardiologist","GRWILLIAMS","","","NO","","0","2 - HIGH","EPIC CARE INPATIENT","APPLICATION SERVICES",""
"C1172672","SOLUTIONS_DELIVERY_CLINICAL","EPIC SERVICES REQUEST","2","ESS - IMPLEMENTATION","02/06/17 18:57:01","09/11/17 00:00:00","","IN PROGRESS","IEAC:  41.7 Enable providers to share ordersets","IEAC: 41.7 Enable providers to share ordersets
Add another clinician's Order Set as a favorite
Save time customizing orders by adding another clinician's Order Set as a favorite instead of creating your own version of an Order Set. For example, if another clinician created her own version of the Community Acquired Pneumonia Order Set, and you like the orders they selected, you can add that version of the Order Set to your Favorites section.

In the Orders activity, click Go to Order Sets.
Click  Advanced.
In the Order Set field, enter the original name of the Order Set you want to add and press TAB.
Be sure to search for the original name of Order Set, not the name assigned by your colleague to her customized version.
In the User field, enter the name of the clinician whose Order Set you want to add.
Click Search. The Order Set appears under Record Name.
Right-click the Order Set you want to add and select Add to Favorites.

Epic application module to be optimized: Inpatient

Improvement Initiative this Optimization will effect: Quality and Safety

Who will be impacted by this Optimization: 1-ENTERPRISE / HOSPITAL

Benefit / Value:
see above","MLSPEAKER","8","","NO","AJMCWHORTER","0","","EPIC CARE INPATIENT ","APPLICATION SERVICES",""
"C1172700","SOLUTIONS_DELIVERY_CLINICAL","EPIC SERVICES REQUEST","3","ESS - REQUEST FOR CHANGE","02/07/17 08:25:19","","","NOT STARTED","AEAC: 16.5 uplift pneumoccoccal CDS to aid with legacy vaccines.  currently older immunizations from logiciian and early days of epic do not satisfy current Epic CDS.  Need to detemrine workflow/build to enable these vaccines to be updated","AEAC: 16.5 FCM M-5 -- Reactivate Pneumo HMA - uplift pneumoccoccal CDS to aid with legacy vaccines.  currently older immunizations from logiciian and early days of epic do not satisfy current Epic CDS.  Need to detemrine workflow/build to enable these vaccines to be recognized.

Epic application module to be optimized: Ambulatory

Improvement Initiative this Optimization will effect: Quality and Safety

Who will be impacted by this Optimization: 2-CLINIC / NON-HOSPITAL

Benefit / Value:
allows for improved use of CDS.","MLSPEAKER","","","NO","","0","","EPIC CARE AMBULATORY ","APPLICATION SERVICES",""
"C1172709","SOLUTIONS_DELIVERY_CLINICAL","EPIC SERVICES REQUEST","3","ESS - REQUEST FOR CHANGE","02/07/17 08:51:47","","","NOT STARTED","AEAC: 13.9 determine efficient process for send-out labs to be documented and scanned in chart so they are easy to locate in the future","AEAC: determine efficient process for send-out labs to be documented and scanned in chart so they are easy to locate in the future

Epic application module to be optimized: Ambulatory

Improvement Initiative this Optimization will effect: Quality and Safety

Who will be impacted by this Optimization: 1-ENTERPRISE / HOSPITAL

Benefit / Value:
currently it is hard to find these send out labs in media tab, and information in lab tab is not useful","MLSPEAKER","","","NO","","0","","EPIC CARE AMBULATORY ","APPLICATION SERVICES",""
"C1173191","SOLUTIONS_DELIVERY_CLINICAL","SOFTWARE REQUEST","3","ESS - REQUEST FOR CHANGE","02/09/17 13:06:39","","","NOT STARTED","Software to manage Occupational Medicine On-Site Nursing.  EHR with billing capabilities; random sample generator.","FCM M-6 -- Software to manage Occupational Medicine.  EHR with billing capabilities; random sample generator.

Provide clinical and/or financial background information pertinent to the business need:
Multiple on-site nursing clinics for local employers.  We anticipate that the number of on-site nursing contracts will continue to grow.  We currently do not have a good software solution to help track expenses and manage the invoicing process for the individual contracts since billing is not done via EPIC.   Nor are we able to offer an EHR to client companies and EPIC is not Occ Med friendly as it is patient centric and Occ Med EHRs are company-centric.

What are you attempting to achieve and what benefits are you attempting to attain? Necessary to maintain existing revenue or service (break-fix)

Has a product or vendor already been reviewed or selected? No
  Would there be an ongoing contract associated with this proposed solution? null
  Would this solution be purchased or leased? null
  Would the solution be hosted offsite in the ""cloud""?perhaps for some, but not Radford Arsenall
  From what devices would the solution be accessed? null
  What other vendors were researched and considered for this solution? null
  Please list at least 2 reference locations (non-Carilion) that are using this product: null
  Please provide the name of the selected vendor: some potential vendors in Updates
  Please provide the URL of the selected vendor's web site: null
Would this initiative replace an existing solution? No
  What is the solution being replaced? null
If this request is denied or delayed, what may happen as a result? Inability to expand this service and breakdown with current processes
Who is your financial advisor? Adrienne Sowers
Have you discussed this solution with your financial advisor? Yes
  What dollar amount are you requesting? TBD
  What would the annual operating cost be? TBD
  How many net new FTEs would be required for this solution? TBD
Would there be any cost savings associated with this request? Yes
  Provide a descritpion of the cost savings:
Increased efficiencies.  Decrease risk.
Will confidential Carilion Clinic information be stored or transmitted by this system? Yes
  Please check information types that apply: Patient, Financial, Other
Is this a clinical or non-clinical based system? Clinical","SESTONE","","","NO","USLEE","0","","UNDETERMINED","UNDETERMINED SERVICES",""
"C1173222","SOLUTIONS_DELIVERY_NONCLINICAL","SERVICE CATALOG REQUEST","2","ESS - REQUEST FOR CHANGE","02/09/17 14:12:09","","","DEFERRED","SAP Lumira Sizing","SAP Lumira Sizing

Report ID: Not_Listed (Specify Below) - Troubleshoot Existing Analytics Service / Report
Report Name:  SAP Lumira

Business need:
SAP Lumira - attempts to pull in data from SAP universe maxing out when number of cells near a million.  Found a ""Lumira Sizing Guide"" and some other documentation online that may help us change some settings and improve capacity.  Creating RFC and will transfer to TSG_Enterprise_Applications team so they can take a look.","DSBOWERS","","","NO","CRFALLON","0","","Not_Listed (Specify Below)","REPORTING SERVICES",""
"C1173911","SOLUTIONS_DELIVERY_CLINICAL","EPIC SERVICES REQUEST","4","ESS - REQUEST FOR CHANGE","02/14/17 09:33:09","","","NOT STARTED","IEAC: 18.5 have some imaging/cardiac orders populate both cardiac tab and imaging tab.","IEAC:  *have some imaging/cardiac orders populate both cardiac tab and imaging tab.
*place narrative/impression from inpatient procedures in the procedure tab in Notes activity in inpatient.
*standardize workflow for resulting nuclear stress/exercise tests.

Epic application module to be optimized: Inpatient

Improvement Initiative this Optimization will effect: Documentation Improvement

Who will be impacted by this Optimization: 1-ENTERPRISE / HOSPITAL

Benefit / Value:
improved visualization of results in Epic
Meeting Held 2/13 to discuss.  take aways currently to look at workflow.","MLSPEAKER","","","NO","","0","","EPIC CARE INPATIENT ","APPLICATION SERVICES",""
